,variable,chi_sq,p_value
64,opera_Latin American Wings,546.681,0.0
35,mes_7,467.544,0.0
47,tipovuelo_N,289.678,0.0
49,opera_Air Canada,276.694,0.0
77,siglades_Buenos Aires,210.561,0.0
124,siglades_Sydney,203.391,0.0
40,mes_12,201.632,0.0
67,opera_Qantas Airways,201.379,0.0
56,opera_Copa Air,183.382,0.0
83,siglades_Ciudad de Panama,183.382,0.0
31,mes_3,177.368,0.0
58,opera_Gol Trans,156.609,0.0
32,mes_4,155.837,0.0
78,siglades_Calama,134.248,0.0
46,dianom_Viernes,93.864,0.0
87,siglades_Cordoba,91.535,0.0
123,siglades_Sao Paulo,90.745,0.0
118,siglades_Rio de Janeiro,90.109,0.0
73,siglades_Auckland N.Z.,85.568,0.0
102,siglades_Mendoza,82.869,0.0
97,siglades_Lima,72.127,0.0
52,opera_American Airlines,69.416,0.0
38,mes_10,67.34,0.0
66,opera_Plus Ultra Lineas Aereas,59.354,0.0
76,siglades_Bogota,57.938,0.0
48,opera_Aeromexico,56.995,0.0
13,dia_15,50.012,0.0
54,opera_Avianca,49.753,0.0
30,mes_2,41.028,0.0
120,siglades_Rosario,40.596,0.0
131,temporada_alta_1,40.405,0.0
69,opera_United Airlines,40.021,0.0
92,siglades_Houston,39.811,0.0
70,siglades_Arica,39.552,0.0
82,siglades_Ciudad de Mexico,38.164,0.0
57,opera_Delta Air,37.874,0.0
72,siglades_Atlanta,37.874,0.0
133,periodo_dia_tarde,35.401,0.0
9,dia_11,33.504,0.0
101,siglades_Melbourne,32.335,0.0
126,siglades_Toronto,31.508,0.0
89,siglades_Dallas,31.274,0.0
86,siglades_Copiapo,28.335,0.0
45,dianom_Sabado,26.2,0.0
132,periodo_dia_noche,26.183,0.0
33,mes_5,25.559,0.0
8,dia_10,25.015,0.0
50,opera_Air France,24.295,0.0
109,siglades_Paris,23.149,0.0
85,siglades_Concepcion,22.15,0.0
42,dianom_Lunes,19.911,0.0
80,siglades_Castro (Chiloe),18.3,0.0
60,opera_Iberia,17.553,0.0
62,opera_K.L.M.,17.079,0.0
43,dianom_Martes,16.049,0.0
71,siglades_Asuncion,15.251,0.0
125,siglades_Temuco,14.726,0.0
41,dianom_Jueves,14.403,0.0
114,siglades_Punta Arenas,13.438,0.0
44,dianom_Miercoles,12.805,0.0
5,dia_7,10.798,0.001
59,opera_Grupo LATAM,10.678,0.001
0,dia_2,10.431,0.001
25,dia_27,9.686,0.002
128,siglades_Ushuia,9.237,0.002
51,opera_Alitalia,9.149,0.002
119,siglades_Roma,9.149,0.002
117,siglades_Quito,8.814,0.003
96,siglades_La Serena,8.542,0.003
74,siglades_Balmaceda,8.18,0.004
115,siglades_Punta Cana,7.889,0.005
111,siglades_Puerto Montt,7.846,0.005
6,dia_8,7.576,0.006
14,dia_16,6.897,0.009
28,dia_30,6.823,0.009
29,dia_31,6.507,0.011
34,mes_6,6.375,0.012
39,mes_11,6.067,0.014
37,mes_9,5.88,0.015
36,mes_8,5.076,0.024
68,opera_Sky Airline,5.044,0.025
93,siglades_Iquique,4.968,0.026
112,siglades_Puerto Natales,4.864,0.027
99,siglades_Los Angeles,4.571,0.033
113,siglades_Puerto Stanley,4.407,0.036
84,siglades_Cochabamba,4.407,0.036
12,dia_14,4.37,0.037
129,siglades_Valdivia,4.365,0.037
27,dia_29,4.21,0.04
