X,fecha_i_dt,temporada_alta_1,temporada_alta_2,temporada_alta_3,temporada_alta_4,
61862,2017-12-31 23:55:00,0,0,0,4,4
66918,2017-12-31 23:55:00,0,0,0,4,
62026,2017-12-31 23:45:00,0,0,0,4,
66947,2017-12-31 23:40:00,0,0,0,4,
62755,2017-12-31 23:30:00,0,0,0,4,
66797,2017-12-31 23:30:00,0,0,0,4,
66712,2017-12-31 23:20:00,0,0,0,4,
64406,2017-12-31 22:50:00,0,0,0,4,
67004,2017-12-31 22:45:00,0,0,0,4,
66735,2017-12-31 22:35:00,0,0,0,4,
61923,2017-12-31 22:30:00,0,0,0,4,
67799,2017-12-31 22:00:00,0,0,0,4,
62473,2017-12-31 21:50:00,0,0,0,4,
61893,2017-12-31 21:45:00,0,0,0,4,
61966,2017-12-31 21:10:00,0,0,0,4,
64183,2017-12-31 21:10:00,0,0,0,4,
62914,2017-12-31 20:50:00,0,0,0,4,
64302,2017-12-31 20:30:00,0,0,0,4,
66766,2017-12-31 20:20:00,0,0,0,4,
67992,2017-12-31 20:11:00,0,0,0,4,
64119,2017-12-31 20:10:00,0,0,0,4,
67657,2017-12-31 20:05:00,0,0,0,4,
67096,2017-12-31 19:55:00,0,0,0,4,
67492,2017-12-31 19:55:00,0,0,0,4,
67568,2017-12-31 19:45:00,0,0,0,4,
63884,2017-12-31 19:05:00,0,0,0,4,
64004,2017-12-31 19:05:00,0,0,0,4,
64269,2017-12-31 18:25:00,0,0,0,4,
64242,2017-12-31 18:15:00,0,0,0,4,
62900,2017-12-31 18:10:00,0,0,0,4,
62299,2017-12-31 17:30:00,0,0,0,4,
67881,2017-12-31 17:30:00,0,0,0,4,
66655,2017-12-31 17:20:00,0,0,0,4,
63543,2017-12-31 17:15:00,0,0,0,4,
63404,2017-12-31 17:10:00,0,0,0,4,
63718,2017-12-31 17:10:00,0,0,0,4,
66599,2017-12-31 17:00:00,0,0,0,4,
68193,2017-12-31 17:00:00,0,0,0,4,
65264,2017-12-31 16:41:00,0,0,0,4,
63597,2017-12-31 16:35:00,0,0,0,4,
64947,2017-12-31 16:34:00,0,0,0,4,
64104,2017-12-31 16:30:00,0,0,0,4,
67747,2017-12-31 16:30:00,0,0,0,4,
68119,2017-12-31 16:30:00,0,0,0,4,
66973,2017-12-31 16:20:00,0,0,0,4,
62247,2017-12-31 16:16:00,0,0,0,4,
68187,2017-12-31 16:16:00,0,0,0,4,
63245,2017-12-31 16:15:00,0,0,0,4,
65126,2017-12-31 16:12:00,0,0,0,4,
64453,2017-12-31 16:05:00,0,0,0,4,
68152,2017-12-31 16:04:00,0,0,0,4,
64925,2017-12-31 15:52:00,0,0,0,4,
66419,2017-12-31 15:50:00,0,0,0,4,
64707,2017-12-31 15:40:00,0,0,0,4,
67065,2017-12-31 15:40:00,0,0,0,4,
65066,2017-12-31 15:39:00,0,0,0,4,
65572,2017-12-31 15:30:00,0,0,0,4,
65223,2017-12-31 15:21:00,0,0,0,4,
64347,2017-12-31 15:20:00,0,0,0,4,
63150,2017-12-31 15:15:00,0,0,0,4,
