,variable,importance
1,mes_7,0.08181235174730832
0,opera_Latin American Wings,0.07509376928349043
2,tipovuelo_N,0.06319451126353139
37,periodo_dia_tarde,0.049420015799145144
44,periodo_dia_noche,0.04516411231522271
6,mes_12,0.04056107161484355
30,temporada_alta_1,0.03569776849094503
3,opera_Air Canada,0.03112525726294105
22,mes_10,0.02761152332882284
14,dianom_Viernes,0.027526579575934226
10,mes_3,0.02456788190326983
54,dianom_Martes,0.023990887229542464
4,siglades_Buenos Aires,0.023651816018356024
57,dianom_Jueves,0.023644841129621872
50,dianom_Lunes,0.02342902263733954
11,opera_Gol Trans,0.022896918411106384
26,dia_15,0.021711977772087006
12,mes_4,0.021694633484945335
46,dia_10,0.018592358632153087
43,dianom_Sabado,0.016786508521052696
8,opera_Copa Air,0.016707456533688915
9,siglades_Ciudad de Panama,0.016578400393369108
20,siglades_Lima,0.015533077354657917
59,dianom_Miercoles,0.015117972125858
45,mes_5,0.013878593552645768
13,siglades_Calama,0.012575820424960542
16,siglades_Sao Paulo,0.012537031655362655
38,dia_11,0.01249611118638754
15,siglades_Cordoba,0.012018666006204194
28,mes_2,0.011560659558482986
27,opera_Avianca,0.011213514367304785
17,siglades_Rio de Janeiro,0.011171910895095694
5,siglades_Sydney,0.010531458203707576
18,siglades_Auckland N.Z.,0.009840840255910921
19,siglades_Mendoza,0.009807536985220893
7,opera_Qantas Airways,0.009647001087532732
21,opera_American Airlines,0.009571658313483828
24,siglades_Bogota,0.008600192594887753
49,siglades_Concepcion,0.008589277717978891
58,siglades_Punta Arenas,0.006780595640763532
25,opera_Aeromexico,0.006279291454667135
33,siglades_Arica,0.005926136136794405
56,siglades_Temuco,0.005230061288639184
34,siglades_Ciudad de Mexico,0.004420697607566409
42,siglades_Copiapo,0.00433758936408392
23,opera_Plus Ultra Lineas Aereas,0.0038966577346582327
40,siglades_Toronto,0.003491127217721791
29,siglades_Rosario,0.0033054355936829906
52,opera_Iberia,0.0032123357324305196
31,opera_United Airlines,0.0031182524209542543
48,siglades_Paris,0.003099735248330214
47,opera_Air France,0.0030683839308139485
32,siglades_Houston,0.0030284753838015115
35,opera_Delta Air,0.003011307393270734
53,opera_K.L.M.,0.0029018394605512844
36,siglades_Atlanta,0.002840892634889538
39,siglades_Melbourne,0.0024000271207720485
41,siglades_Dallas,0.0016519023263635768
55,siglades_Asuncion,0.0011807675267583354
51,siglades_Castro (Chiloe),0.0006675031480866573
