#,fecha_i_dt,periodo_manana,periodo_tarde,periodo_noche,d,d,d,d,dd
19209,2017-04-22 00:00:00,0,0,1,12:00:00 AM,,,,
32197,2017-06-05 00:00:00,0,0,1,12:00:00 AM,,,,
8550,2017-02-04 00:01:00,0,0,1,12:01:00 AM,,,,
38149,2017-07-29 00:01:00,0,0,1,12:01:00 AM,,,,
67692,2017-12-10 00:01:00,0,0,1,12:01:00 AM,,,,
5489,2017-01-02 00:05:00,0,0,1,12:05:00 AM,,,,
5490,2017-01-03 00:05:00,0,0,1,12:05:00 AM,,,,
5491,2017-01-04 00:05:00,0,0,1,12:05:00 AM,,,,
5492,2017-01-05 00:05:00,0,0,1,12:05:00 AM,,,,
5493,2017-01-06 00:05:00,0,0,1,12:05:00 AM,,,,
5494,2017-01-07 00:05:00,0,0,1,12:05:00 AM,,,,
5495,2017-01-08 00:05:00,0,0,1,12:05:00 AM,,,,
5496,2017-01-09 00:05:00,0,0,1,12:05:00 AM,,,,
5497,2017-01-10 00:05:00,0,0,1,12:05:00 AM,,,,
5498,2017-01-11 00:05:00,0,0,1,12:05:00 AM,,,,
5499,2017-01-12 00:05:00,0,0,1,12:05:00 AM,,,,
5500,2017-01-13 00:05:00,0,0,1,12:05:00 AM,,,,
5501,2017-01-14 00:05:00,0,0,1,12:05:00 AM,,,,
5502,2017-01-15 00:05:00,0,0,1,12:05:00 AM,,,,
5503,2017-01-16 00:05:00,0,0,1,12:05:00 AM,,,,
5504,2017-01-17 00:05:00,0,0,1,12:05:00 AM,,,,
5505,2017-01-18 00:05:00,0,0,1,12:05:00 AM,,,,
5506,2017-01-19 00:05:00,0,0,1,12:05:00 AM,,,,
5507,2017-01-20 00:05:00,0,0,1,12:05:00 AM,,,,
5508,2017-01-21 00:05:00,0,0,1,12:05:00 AM,,,,
5509,2017-01-22 00:05:00,0,0,1,12:05:00 AM,,,,
5510,2017-01-23 00:05:00,0,0,1,12:05:00 AM,,,,
5511,2017-01-24 00:05:00,0,0,1,12:05:00 AM,,,,
5512,2017-01-25 00:05:00,0,0,1,12:05:00 AM,,,,
5513,2017-01-26 00:05:00,0,0,1,12:05:00 AM,,,,
5514,2017-01-27 00:05:00,0,0,1,12:05:00 AM,,,,
5515,2017-01-28 00:05:00,0,0,1,12:05:00 AM,,,,
5516,2017-01-29 00:05:00,0,0,1,12:05:00 AM,,,,
